3341044,"PRIMA MEDIKA LABORATORIES, JL.MANYAR KARTIKA VII/10-16, MENUR PUMPUNGAN"
98060810,"PRINTKU DIGITAL PRINTING, JL. RAYA KEPUTIH TEGAL TIMUR NO. 15 RUKO BUMI MARINA EMAS A25/I"
96994543,"PT INDO REKA BUSANA MAKMUR, RAYA TENGGILIS BLOK R 27"
96995672,"PT KARMAND MITRA ANDALAN, JL JEMURSARI II NO 16"
6200659,"RAMA PUTRA, Jl. Rungkut Industri Iv No. 14 Kawasan Industri Sier"
6206906,"RANGKA INDAH, Kyai Tambak Deres 22"
97003715,"SAMA JAYA BOX, CV, JL. LEBAK PERMAI 3/41 ,"
96758710,"SARANA SURYA SAKTI, PT, Jl. Demak Timur 2 & 7 ,"
6201347,"SENTRAL TEKNIK SURYA, Kendangsari Ykp 2 No. 34"
16808772,"SURYA MEDIKAL SERVIS, Jl. Nginden Intan Timur VII/37 (Blok++E3/10)"
3742138,"SURYA SEJATI MULIA, RUKO KLAMPIS JAYA 21 C, JALAN RAYA KLAMPIS JAYA"
2816089,"TERA ARTHA PERDANA, JL. GALAXI KLAMPIS ASRI UTARA X BLOK A-4/31"
96917892,"UD SURYA TERANG, KYAI TAMBAK DERES 16A"
96989404,"VIKTORI PROFINDO AUTOMATION. PT, JL KLAMPIS ANOM 7/2 RT 7 RW 5 60777"
96983940,"VOKSEL ELEKTRONIK PT, Jl. Klampis Jaya No.6C Kav A17, Klampis Ngasem, Kec. Sukolilo, Surabaya, Jawa Timur 60117"
3643250,"ABB SAKTI INDUSTRI, JL MARGOMULYO NO 44"
6703033,"Adidaya Metal Indonesia, PT, Pergudangan Margomulyo Permai, Desa/Kelurahan Sukomanunggal, Kec. Sukomanunggal, Kota Surabaya, Provinsi Jawa Timur"
6200906,"ADROSS INDO SUKSES, Jl. Margomulyo Permai Blok Q-18"
2882148,"ANTABOGA MANUNGGAL KARSA, PT, Jl. Pattimura - Ruko Plaza Segi Delapan Kav. C-810"
97739339,"CAHAYA FURNITURE, JL. SIMO KALANGAN 55"
96968037,"CV CAHAYA FURANINDO, JL.PERMATA MATA TANJUNGSARI BLOK A NO 12-16"
96984065,"DAIMASTER, UD, Jl. Simo Tambaan Ii/66T ,"
3593993,"DUTA ABADIPRIMANTARA, Jln Margomulyo Permai Blok P- 3A, Rt 4 RW 4,kel sukomanunggal Kec Sukomanunggal, Surabaya kode pos 60187"
3301955,"HAY HASIL JAYA, JL. MANUKAN KULON 60 BLOK E-2"
